day,month,year,Cleaned_Tweets,Retweets,Likes
27,1,2022,CB radios are free from govt/media control,11302,113429
27,1,2022,And in the darkness bind them,33028,195919
27,1,2022,"Honestly, I would let the border regions vote. Let the people there actually decide.",281,4627
27,1,2022,Vote them out,7712,68748
27,1,2022,"If you scare people enough, they will demand removal of freedom. This is the path to tyranny.",119804,543466
27,1,2022,Seems odd that the UN still hasnât released 2020 world death rates,32799,262118
27,1,2022,You should be voted out of office,484,7029
27,1,2022,"Manganese also requires less lithium, as it operates at higher voltage",128,2543
27,1,2022,Your policies are directly responsible for the outrageously high insurance premiums paid by Californians,421,6144
27,1,2022,Freedom is being stripped away one piece at a time until it is gone,12348,63170
27,1,2022,Just that manganese is an alternative to iron amp phosphorus for scaling cathode production to several TWh/year,171,3173
27,1,2022,Exactly,145,4234
28,1,2022,I have a feeling that the gerrymandering will not work as well as they think,734,11421
28,1,2022,"Given how hard insanely FSD is, I think it may take 5 years or more before any company besides Tesla solves it",920,9400
28,1,2022,I have one,998,36498
28,1,2022,"Disney in the streets,Euphoria in the sheets",4546,45106
28,1,2022,Tesla will support FSD licensing by other manufacturers,686,6560
28,1,2022,Excited for future of solar at Tesla,707,13117
28,1,2022,There will only be EVs in the future,571,5937
28,1,2022,Interesting ideas,4283,66420
28,1,2022,It has been a very long road,452,12372
28,1,2022,There are many faux ,393,9344
29,1,2022,Just rewatched True Romance ,6464,109154
29,1,2022,The ratio of machine to human compute skyrockets,467,8011
29,1,2022,True,280,6952
29,1,2022,We need serious tonnage to Mars,490,9544
29,1,2022,Lie back and think of Mars,15887,199694
29,1,2022,The Universe is a Hydrogen Sonata,8475,121993
29,1,2022,Voters should call their elected politicians now to make it clear how they feel,2156,16633
30,1,2022,How many gene sequence changes to Covid-19 before it isnât âCovid-19â anymore OG Covid-19 ended a long time ago.,2583,16963
30,1,2022,Halo Infinite campaign is good,17222,284563
30,1,2022,"Iâm driving this program personally, as is the case for almost all new programs",789,16554
30,1,2022,"For reasons unknown,  is unable to say the word âTeslaâ",10336,94954
30,1,2022,"If the government had the mandate of the people, there would be a significant counter-protest. There is not, therefore they do not.",3778,21080
30,1,2022,Protesting in a Canadian winter shows real commitment,4030,27376
